name_file,min_energy,pseudo_energy,log_min_evalue,covarying_bp,MPI,average_MFE_sample,sd_sample,zscore,sci
MT_1488_1598_24_71.2_0.2_0.7_40.5_4.8_479_+.aln,-0.1441818181818182,-0.19281818181818183,-4.515899554706061,2.0,71.2,-0.12954545454545455,4.92,-4.79,1.5333
MT_1486_1596_24_72.4_0.2_0.67_41.8_4.8_393_+.aln,-0.14845454545454545,-0.2010909090909091,-4.490183445764866,2.0,72.4,-0.13899999999999998,6.2,-3.93,1.6311
MT_1482_1596_24_73.3_0.2_0.65_43.0_4.6_426_+.aln,-0.151140350877193,-0.2123684210526316,-4.518923020737646,2.0,73.3,-0.15228070175438596,6.05,-4.27,1.7526
MT_1479_1610_24_72.9_0.2_0.65_42.4_4.3_373_+.aln,-0.1315267175572519,-0.18190839694656488,-4.528812473423873,2.0,72.9,-0.13977099236641222,6.56,-3.73,1.5881
MT_1477_1610_24_72.9_0.2_0.65_42.2_4.3_440_+.aln,-0.12954887218045114,-0.17917293233082707,-4.623072828974988,2.0,72.9,-0.1429323308270677,5.41,-4.4,1.5665
MT_1488_1598_24_71.2_0.2_0.7_40.5_4.8_415_-.aln,-0.17163636363636361,-0.1648181818181818,-5.052521674536848,2.0,71.2,-0.1439090909090909,5.11,-4.15,1.4122
MT_1486_1596_24_72.4_0.2_0.67_41.8_4.8_429_-.aln,-0.1898181818181818,-0.19372727272727272,-4.718541641454312,2.0,72.4,-0.17154545454545456,5.44,-4.29,1.4865
MT_1482_1596_24_73.3_0.2_0.65_43.0_4.6_407_-.aln,-0.1787719298245614,-0.21271929824561403,-4.683838774767915,2.0,73.3,-0.18175438596491228,5.87,-4.07,1.5106
MT_1463_1572_24_72.1_0.2_0.68_44.9_4.8_218_+.aln,-0.07211009174311928,-0.16871559633027525,-1.7588321979871901,0.0,72.1,-0.1201834862385321,6.04,-2.18,1.7061
MT_1449_1560_24_70.8_0.2_0.71_43.8_4.7_269_+.aln,-0.07108108108108108,-0.16216216216216217,-1.7848517229108751,0.0,70.8,-0.10207207207207207,5.53,-2.69,1.5529
MT_1479_1610_24_72.9_0.2_0.65_42.4_4.3_398_-.aln,-0.17763358778625954,-0.18091603053435115,-4.7549984223333475,2.0,72.9,-0.17786259541984734,5.95,-3.98,1.4169
MT_1477_1610_24_72.9_0.2_0.65_42.2_4.3_409_-.aln,-0.1732330827067669,-0.18909774436090224,-4.81181143064117,2.0,72.9,-0.18323308270676691,5.81,-4.1,1.4072
MT_1463_1572_24_72.1_0.2_0.68_44.9_4.8_349_-.aln,-0.17779816513761468,-0.1821100917431193,-2.1633012611725704,0.0,72.1,-0.18715596330275228,5.4,-3.49,1.441
MT_1417_1488_24_89.3_0.1_0.22_45.2_1.2_38_+.aln,-0.06732394366197184,-0.19422535211267605,-3.9014497181076413,0.0,89.3,-0.23140845070422536,5.64,-0.38,1.7822
MT_1449_1560_24_70.8_0.2_0.71_43.8_4.7_486_-.aln,-0.17009009009009007,-0.19036036036036036,-2.105696124321505,0.0,70.8,-0.1508108108108108,4.78,-4.86,1.4101
MT_1417_1488_24_89.3_0.1_0.22_45.2_1.2_78_-.aln,-0.16014084507042253,-0.1484507042253521,-4.05398618097977,1.0,89.3,-0.22788732394366196,7.32,-0.78,1.7732
MT_1421_1562_24_75.3_0.2_0.59_41.8_4.3_229_+.aln,-0.0948936170212766,-0.15375886524822696,-2.2999473472210314,0.0,75.3,-0.1450354609929078,6.48,-2.3,1.5701
MT_1447_1626_24_75.5_0.2_0.58_42.7_5.2_368_+.aln,-0.121731843575419,-0.17441340782122905,-4.577029539686397,2.0,75.5,-0.17150837988826814,6.86,-3.68,1.4747
MT_1396_1566_24_75.6_0.2_0.58_40.2_4.5_264_+.aln,-0.06247058823529411,-0.16423529411764706,-9.615241696025649,1.0,75.6,-0.1486470588235294,5.76,-2.64,1.4385
MT_1386_1564_24_74.8_0.2_0.6_40.4_4.3_343_+.aln,-0.10702247191011237,-0.17286516853932585,-15.940092160749533,3.0,74.8,-0.1453370786516854,6.98,-3.43,1.5538
MT_1421_1562_24_75.3_0.2_0.59_41.8_4.3_243_-.aln,-0.13744680851063829,-0.17404255319148937,-2.310035309887491,0.0,75.3,-0.19312056737588654,7.0,-2.43,1.3858
MT_1447_1626_24_75.5_0.2_0.58_42.7_5.2_283_-.aln,-0.16860335195530726,-0.1747486033519553,-4.847711655616943,2.0,75.5,-0.21659217877094974,8.01,-2.83,1.3507
MT_1396_1566_24_75.6_0.2_0.58_40.2_4.5_218_-.aln,-0.14005882352941176,-0.15005882352941177,-10.245365032786836,1.0,75.6,-0.19223529411764706,7.65,-2.18,1.3258
MT_1386_1564_24_74.8_0.2_0.6_40.4_4.3_401_-.aln,-0.16191011235955055,-0.17589887640449436,-16.76123902931824,3.0,74.8,-0.18764044943820224,6.7,-4.01,1.4205
MT_1358_1616_24_76.5_0.2_0.56_39.9_7.0_411_+.aln,-0.12996124031007752,-0.18872093023255812,-15.89236612160017,3.0,76.5,-0.182015503875969,8.58,-4.11,1.4137
MT_1340_1571_24_75.3_0.2_0.59_40.5_7.5_293_+.aln,-0.09311688311688313,-0.16238095238095238,-16.58214815415721,3.0,75.3,-0.15900432900432898,8.12,-2.93,1.3522
MT_1300_1478_24_79.4_0.2_0.48_39.4_8.3_325_+.aln,-0.15735955056179776,-0.14280898876404496,-15.49900513322067,3.0,79.4,-0.17337078651685392,7.16,-3.25,1.4006
MT_1296_1482_24_80.0_0.2_0.46_39.4_8.0_326_+.aln,-0.1528494623655914,-0.1472043010752688,-14.704859707817901,2.0,80.0,-0.1774193548387097,7.24,-3.26,1.4143
MT_1300_1478_24_79.4_0.2_0.48_39.4_8.3_141_-.aln,-0.10095505617977528,-0.13870786516853933,-17.205058376945484,3.0,79.4,-0.1753932584269663,8.12,-1.41,1.163
MT_1327_1598_24_77.2_0.2_0.54_41.6_6.5_443_+.aln,-0.16129151291512916,-0.18671586715867158,-14.560608877751815,3.0,77.2,-0.20380073800738005,9.09,-4.43,1.491
MT_1296_1482_24_80.0_0.2_0.46_39.4_8.0_171_-.aln,-0.10833333333333332,-0.1440322580645161,-18.25298693157966,3.0,80.0,-0.17752688172043013,8.14,-1.71,1.2029
MT_1340_1571_24_75.3_0.2_0.59_40.5_7.5_257_-.aln,-0.13952380952380952,-0.1471861471861472,-16.542102971317718,2.0,75.3,-0.19528138528138528,8.21,-2.57,1.2317
MT_1358_1616_24_76.5_0.2_0.56_39.9_7.0_369_-.aln,-0.1719767441860465,-0.15321705426356588,-15.941657501744213,4.0,76.5,-0.19616279069767442,9.01,-3.69,1.3234
MT_1268_1460_24_79.6_0.2_0.48_37.9_8.0_383_+.aln,-0.14651041666666667,-0.16005208333333334,-15.05494128282831,3.0,79.6,-0.17453125,6.81,-3.83,1.4934
MT_1265_1425_24_78.0_0.2_0.53_39.7_9.0_364_+.aln,-0.1590625,-0.17781249999999998,-15.21577367701875,3.0,78.0,-0.167625,7.45,-3.64,1.5253
MT_1263_1423_24_78.0_0.2_0.53_40.9_9.0_376_+.aln,-0.151125,-0.187625,-14.633644293577873,3.0,78.0,-0.164875,7.39,-3.76,1.5223
MT_1267_1473_24_79.7_0.2_0.48_38.8_7.5_311_+.aln,-0.15975728155339805,-0.14766990291262136,-15.860984065620785,3.0,79.7,-0.1787378640776699,8.78,-3.11,1.443
MT_1265_1425_24_78.0_0.2_0.53_39.7_9.0_169_-.aln,-0.1054375,-0.154125,-15.733070135320089,3.0,78.0,-0.1765,7.87,-1.69,1.1501
MT_1268_1460_24_79.6_0.2_0.48_37.9_8.0_163_-.aln,-0.09958333333333334,-0.13864583333333333,-15.697957108816619,3.0,79.6,-0.16880208333333332,8.36,-1.63,1.1426
MT_1263_1423_24_78.0_0.2_0.53_40.9_9.0_215_-.aln,-0.12050000000000001,-0.1640625,-16.09797534004788,3.0,78.0,-0.1786875,7.9,-2.15,1.2208
MT_1327_1598_24_77.2_0.2_0.54_41.6_6.5_274_-.aln,-0.16154981549815497,-0.15948339483394833,-16.19380916878978,3.0,77.2,-0.21239852398523987,10.75,-2.74,1.3103
MT_1267_1473_24_79.7_0.2_0.48_38.8_7.5_176_-.aln,-0.10223300970873786,-0.14728155339805826,-15.259473099277857,3.0,79.7,-0.17427184466019416,8.81,-1.76,1.1341
MT_1253_1446_24_80.3_0.2_0.47_38.6_8.0_342_+.aln,-0.14067357512953368,-0.1772538860103627,-16.136860415121735,2.0,80.3,-0.17683937823834198,7.96,-3.42,1.5667
MT_1262_1478_24_80.1_0.2_0.47_40.2_7.2_332_+.aln,-0.1600925925925926,-0.15106481481481482,-15.902760048546432,3.0,80.1,-0.18601851851851853,8.37,-3.32,1.438
MT_1249_1472_24_80.6_0.2_0.46_39.2_7.2_415_+.aln,-0.15183856502242152,-0.18161434977578475,-14.67173255280978,2.0,80.6,-0.19713004484304933,7.32,-4.15,1.571
MT_1245_1475_24_80.5_0.2_0.46_39.6_7.2_324_+.aln,-0.15091304347826087,-0.18408695652173915,-14.60015847602156,3.0,80.5,-0.2033913043478261,9.34,-3.24,1.547
MT_1253_1446_24_80.3_0.2_0.47_38.6_8.0_175_-.aln,-0.11875647668393784,-0.15544041450777202,-16.98662761584283,3.0,80.3,-0.20051813471502591,8.15,-1.75,1.2139
MT_1203_1446_24_81.2_0.2_0.44_40.2_6.8_342_+.aln,-0.1291358024691358,-0.18164609053497943,-16.40545608072927,5.0,81.2,-0.18983539094650206,9.17,-3.42,1.5403
MT_1262_1478_24_80.1_0.2_0.47_40.2_7.2_124_-.aln,-0.11560185185185184,-0.1451388888888889,-15.66288431665181,3.0,80.1,-0.20564814814814816,9.58,-1.24,1.1585
MT_1197_1247_24_88.4_0.1_0.27_49.4_0.0_13_+.aln,-0.0088,-0.15439999999999998,0.16501568990949939,0.0,88.4,-0.1522,4.19,-0.13,1.3491
MT_1197_1247_24_88.4_0.1_0.27_49.4_0.0_65_-.aln,-0.11320000000000001,-0.16820000000000002,0.3511776536842847,0.0,88.4,-0.22920000000000001,3.98,-0.65,1.4434
MT_1200_1365_24_84.1_0.2_0.38_44.4_2.8_267_+.aln,-0.14539393939393938,-0.2124242424242424,-9.944067684957757,2.0,84.1,-0.21684848484848485,8.78,-2.67,1.684
MT_1249_1472_24_80.6_0.2_0.46_39.2_7.2_178_-.aln,-0.11919282511210762,-0.16309417040358742,-16.075420947417626,3.0,80.6,-0.2141255605381166,8.62,-1.78,1.2622
MT_1194_1375_24_84.8_0.2_0.36_43.7_2.5_265_+.aln,-0.14303867403314918,-0.20762430939226517,-10.122522685382293,2.0,84.8,-0.23696132596685082,7.89,-2.65,1.7291
MT_1245_1475_24_80.5_0.2_0.46_39.6_7.2_182_-.aln,-0.11956521739130435,-0.16365217391304349,-15.669440133456245,3.0,80.5,-0.21156521739130432,9.04,-1.82,1.2185
MT_1200_1365_24_84.1_0.2_0.38_44.4_2.8_229_-.aln,-0.1932121212121212,-0.21181818181818182,-11.462936857218383,2.0,84.1,-0.28684848484848485,8.48,-2.3,1.4906
MT_1203_1446_24_81.2_0.2_0.44_40.2_6.8_254_-.aln,-0.15650205761316874,-0.18707818930041153,-16.524427592222178,5.0,81.2,-0.24156378600823047,9.71,-2.55,1.3595
MT_1183_1429_24_80.9_0.2_0.45_41.6_6.5_301_+.aln,-0.13878048780487806,-0.19455284552845528,-16.343951653636903,5.0,80.9,-0.20467479674796749,10.63,-3.01,1.6339
